"","X","Year","Company","Vineyard","Treatment","Rep","TreatmentAge","ShootCt","ClusterCt","FFNS","ShootMCane","ShootFtCane","ClusterMCane","ClusterFtCane","ShootCt.1","PreClusterCt","PostClusterCt","PercThin","FFNS.1","ShootMRow","ShootFtRow","ShootMCane.1","ShootFtCane.1","PreClMRow","PreClFtRow","PreClMCane","PreClFtCane","PostClMRow","PostClFtRow","PostClMCane","PostClFtCane","LeafN","LeafP","LeafK","LeafCa","LeafMg","LeafB","LeafCu","LeafFe","LeafMn","LeafZn","LeafNa","PetN","PetP","PetK","PetCa","PetMg","PetB","PetCu","PetFe","PetMn","PetZn","PetNa","TSS","pH","TA","ammoniaN","aaN","YAN","HarvestDate","ClusterCt.1","ClusterWt","Yield","KgMRow","LbFtRow","KgMCane","LbFtCane","ClusterMRow","ClusterFtRow","ClusterMCane.1","ClusterFtCane.1","ShootCt.2","PW","Canewt","PWMRow","PWFtRow","PWMCane","PWFtCane","ShootMRow.1","ShootFtRow.1","ShootMCane.2","ShootFtCane.2","Ravaz","anthos.std","tannins.std","phenolics.std","grid_num","ID","Y_Tavg","Y_Tmin","Y_Tmax","Y_Pr","GS_Tavg","GS_Tmin","GS_Tmax","GS_Pr","GS_Hug","GS_Gdd","DS_Pr","DS_Pr2mm","BB_Tavg","BB_Tmin","BB_Tmax","BB_Pr","BB_Tmin0C","FLO_Tavg","FLO_Tmin","FLO_Tmax","FLO_Pr","FLO_Pr2mm","FLO_Tmax35C","VER_Tavg","VER_Tmin","VER_Tmax","VER_Pr","VER_Tmax35C","H_Tavg","H_Tmin","H_Tmax","H_Pr","H_Pr2mm","H_Tmax35C","DEC_Y_Tavg","DEC_Y_Tmin","DEC_Y_Tmax","DEC_Y_Pr","DEC_GS_Tavg","DEC_GS_Tmin","DEC_GS_Tmax","DEC_GS_Pr","DEC_GS_Hug","DEC_GS_Gdd","DEC_DS_Pr","DEC_DS_Pr2mm","GS_Etp","BB_Etp","FLO_Etp","VER_Etp","H_Etp","DEC_GS_Etp","BB_B_Hu","B_V_Hu","V_H_Hu","BB_H_Hu","GS_XL_Hu","BB_B_nDays","B_V_nDays","V_H_nDays","BB_H_nDays","INI_Tavg","INI_Tmin","INI_Tmax","INI_Ra_net","INI_Pr","FLO_Ra_net","VER_Water_deficit","lon","lat","Rootstock"
"1",1,2013,"AtoZ","JacobHart","1cls",1,2,28,43.75,1.57,9.21,2.8,14.39,4.38,29,46.2,28.1,39.43,0.96,19.08,5.8,9.54,2.9,30.39,9.24,15.2,4.62,18.49,5.62,9.24,2.81,2.58,0.22,1.61,2.45,0.29,36,8,215,274,19,0.01,0.63,0.2,3.67,1.75,0.6,27,5,86,487,80,0.04,21.4,3.48,6.2,50,116,157,41542,28.1,117.84,3.31,2.17,1.46,1.09,0.73,18.49,5.62,9.24,2.81,27,1.33,58.58,0.88,0.59,0.44,0.29,17.72,5.4,8.86,2.7,2.48,584,292,876,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"2",2,2013,"AtoZ","JacobHart","1cls",2,2,27.4,39.95,1.45,9.01,2.74,13.14,4,27,37.4,24.2,33.77,0.9,17.76,5.4,8.88,2.7,24.61,7.48,12.3,3.74,15.92,4.84,7.96,2.42,2.52,0.2,1.42,2.63,0.26,32,8,199,289,16,0.01,0.61,0.17,4.2,1.75,0.46,28,4,98,379,79,0.04,23,3.53,5.6,56,130,176,41542,24.8,116.31,2.85,1.87,1.26,0.93,0.63,16.32,4.96,8.16,2.48,24.8,1.09,54.3,0.72,0.48,0.36,0.24,16.27,4.96,8.14,2.48,2.61,680,301,981,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"3",3,2013,"AtoZ","JacobHart","1cls",3,2,30.65,42.15,1.38,10.08,3.07,13.87,4.22,30.2,44.7,26.4,40.38,0.88,19.87,6.04,9.93,3.02,29.41,8.94,14.7,4.47,17.37,5.28,8.68,2.64,2.28,0.21,1.62,2.7,0.28,29,7,218,225,16,0.02,0.62,0.19,4.19,1.81,0.47,28,5,114,329,69,0.06,22.6,3.57,5.2,37,106,136,41542,26.4,133.85,3.45,2.26,1.52,1.13,0.76,17.37,5.28,8.68,2.64,25.3,1.07,50.46,0.7,0.47,0.35,0.24,16.6,5.06,8.3,2.53,3.22,605,335,940,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"4",4,2013,"AtoZ","JacobHart","2cls",1,2,25.85,38.85,1.51,8.5,2.59,12.78,3.89,25.9,41.5,36.2,13.24,1.39,17.04,5.18,8.52,2.59,27.3,8.3,13.65,4.15,23.82,7.24,11.91,3.62,2.41,0.19,1.31,2.37,0.27,30,9,175,228,20,0.01,0.57,0.18,3.5,1.75,0.61,28,5,69,589,71,0.04,22.4,3.62,5.3,29,98,122,41542,36.5,123.41,4.57,3,2.02,1.5,1.01,24.01,7.3,12.01,3.65,24.67,1.11,54.09,0.73,0.49,0.36,0.24,16.19,4.93,8.09,2.47,4.12,462,315,777,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"5",5,2013,"AtoZ","JacobHart","2cls",2,2,29.7,45.7,1.54,9.77,2.97,15.03,4.57,30.8,46.3,39.3,12.15,1.29,20.26,6.16,10.13,3.08,30.46,9.26,15.23,4.63,25.86,7.86,12.93,3.93,2.37,0.19,1.46,2.13,0.25,28,7,151,218,17,0.01,0.59,0.18,4.17,1.82,0.5,27,8,76,360,87,0.05,21.8,3.5,5.7,38,109,140,41542,40.8,128.1,5.21,3.42,2.3,1.71,1.15,26.84,8.16,13.42,4.08,29.3,0.9,35.89,0.59,0.4,0.29,0.2,19.23,5.86,9.61,2.93,5.82,563,284,847,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"6",6,2013,"AtoZ","JacobHart","2cls",3,2,26.3,40.1,1.54,8.65,2.63,13.19,4.01,25.3,40.4,34.7,13.77,1.37,16.64,5.06,8.32,2.53,26.58,8.08,13.29,4.04,22.83,6.94,11.41,3.47,2.47,0.18,1.43,2.51,0.27,27,6,197,230,20,0.02,0.59,0.15,3.9,1.91,0.5,27,5,65,336,86,0.05,21.9,3.54,5.8,45,132,169,41542,35.4,121.78,4.26,2.79,1.88,1.4,0.94,23.29,7.08,11.64,3.54,22.2,1.11,60.68,0.73,0.49,0.36,0.24,14.57,4.44,7.28,2.22,3.83,492,291,783,1199,1199,11.42229744,6.409538837,16.43505603,744.7755126,15.83277836,9.749181822,21.9163749,469.9258202,2641.503278,1288.370712,163.7458733,19,12.50873645,6.925162579,18.09231031,173.6367851,0,16.13874219,9.727778033,22.54970635,19.45094742,3,0,20.08192367,12.70324314,27.46060419,18.63695137,0,18.45882053,12.76612628,24.15151478,220.7394407,16,0,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,796.1185011,202.4210112,97.06306122,284.1617416,163.3691559,836.2452796,247.0670508,585.2816926,406.0233854,1224.344252,1288.370712,69,63,48,178,15.99576033,10.81389996,21.17762069,18.38762514,25.38714359,430.9516714,265.5247902,-123.01889337823,45.3414950932374,"3309"
"7",7,2013,"Adelsheim","RS","1cls",1,1,19.1,30.5,1.6,12.57,3.82,20.07,6.1,19.9,34.5,18.5,45.72,0.94,13.09,3.98,13.09,3.98,22.7,6.9,22.7,6.9,12.17,3.7,12.17,3.7,2.09,0.15,1.32,1.78,0.36,24,6,181,291,69,0.01,0.52,0.14,2.72,1.34,0.88,24,5,47,629,107,0.01,19.8,3.42,5.6,28,65,88,41551,18.6,91.87,1.71,1.12,0.75,1.12,0.75,12.24,3.72,12.24,3.72,18.5,1.3,79.24,0.85,0.57,0.85,0.29,12.14,3.7,12.14,3.7,1.32,516,360,876,1310,1310,11.17695816,6.1681513,16.18576502,745.8277076,15.61462624,9.512664647,21.71658783,476.2202489,2575.92479,1248.199623,159.127236,21,12.57286365,6.786016876,18.35971043,159.1448372,0,15.81687663,9.953611895,21.68014137,33.64779686,6,0,20.10149205,12.59831112,27.60467299,7.722947181,0,17.48577089,12.07150278,22.90003899,251.9706424,20,0,11.88087016,6.726912988,17.03482733,1210.839363,16.03675914,9.676881168,22.39663711,367.7856181,2747.146192,1331.738971,92.72464058,13.8,790.0003381,216.1460345,90.87950071,284.3244679,153.3625646,829.7367008,246.1205097,593.6573403,368.8311235,1190.079586,1248.199623,71,63,49,181,15.79404594,10.3258788,21.26221308,18.86092463,24.40238361,411.1687282,276.6015207,-123.069801113875,45.3706254983447,"3309"
"8",8,2013,"Adelsheim","RS","1cls",2,1,16.45,27.9,1.7,10.82,3.29,18.36,5.58,17,28.8,15.6,45.8,0.92,11.18,3.4,11.18,3.4,18.95,5.76,18.95,5.76,10.26,3.12,10.26,3.12,1.98,0.15,1.29,1.66,0.35,22,6,155,330,43,0.01,0.51,0.12,3.02,1.33,0.93,24,16,51,760,102,0.01,20.2,3.39,6.2,42,83,118,41551,15.4,114.75,1.77,1.16,0.78,1.16,0.78,10.13,3.08,10.13,3.08,16.3,1.2,83.64,0.79,0.53,0.79,0.26,10.7,3.26,10.7,3.26,1.48,498,348,846,1310,1310,11.17695816,6.1681513,16.18576502,745.8277076,15.61462624,9.512664647,21.71658783,476.2202489,2575.92479,1248.199623,159.127236,21,12.57286365,6.786016876,18.35971043,159.1448372,0,15.81687663,9.953611895,21.68014137,33.64779686,6,0,20.10149205,12.59831112,27.60467299,7.722947181,0,17.48577089,12.07150278,22.90003899,251.9706424,20,0,11.88087016,6.726912988,17.03482733,1210.839363,16.03675914,9.676881168,22.39663711,367.7856181,2747.146192,1331.738971,92.72464058,13.8,790.0003381,216.1460345,90.87950071,284.3244679,153.3625646,829.7367008,246.1205097,593.6573403,368.8311235,1190.079586,1248.199623,71,63,49,181,15.79404594,10.3258788,21.26221308,18.86092463,24.40238361,411.1687282,276.6015207,-123.069801113875,45.3706254983447,"3309"
"9",9,2013,"Adelsheim","RS","1cls",3,1,19.4,34.1,1.76,12.76,3.88,22.43,6.82,18.5,32.9,19.2,41.5,1.04,12.17,3.7,12.17,3.7,21.64,6.58,21.64,6.58,12.63,3.84,12.63,3.84,1.8,0.13,0.81,1.64,0.52,21,5,131,346,53,0.01,0.52,0.09,0.75,1.28,1.4,22,4,46,783,78,0.01,21.7,3.38,5,21,88,105,41551,19.2,104.61,2.01,1.32,0.89,1.32,0.89,12.63,3.84,12.63,3.84,17.8,0.86,55.25,0.57,0.38,0.57,0.19,11.68,3.56,11.68,3.56,2.33,890,468,1358,1310,1310,11.17695816,6.1681513,16.18576502,745.8277076,15.61462624,9.512664647,21.71658783,476.2202489,2575.92479,1248.199623,159.127236,21,12.57286365,6.786016876,18.35971043,159.1448372,0,15.81687663,9.953611895,21.68014137,33.64779686,6,0,20.10149205,12.59831112,27.60467299,7.722947181,0,17.48577089,12.07150278,22.90003899,251.9706424,20,0,11.88087016,6.726912988,17.03482733,1210.839363,16.03675914,9.676881168,22.39663711,367.7856181,2747.146192,1331.738971,92.72464058,13.8,790.0003381,216.1460345,90.87950071,284.3244679,153.3625646,829.7367008,246.1205097,593.6573403,368.8311235,1190.079586,1248.199623,71,63,49,181,15.79404594,10.3258788,21.26221308,18.86092463,24.40238361,411.1687282,276.6015207,-123.069801113875,45.3706254983447,"3309"
"10",10,2013,"Adelsheim","RS","NoThin",1,1,20.1,29.95,1.5,13.22,4.02,19.7,5.99,19.5,34.3,34.3,0,1.78,12.83,3.9,12.83,3.9,22.57,6.86,22.57,6.86,22.57,6.86,22.57,6.86,1.86,0.14,1.28,1.7,0.3,21,7,134,254,72,0.01,0.45,0.1,2.64,1.39,0.84,24,5,44,549,96,0.01,19.7,3.36,6,30,64,89,41551,33.6,88.29,2.98,1.95,1.31,1.95,1.31,22.11,6.72,22.11,6.72,19.2,0.92,53.62,0.6,0.41,0.6,0.2,12.6,3.84,12.6,3.84,3.23,503,354,857,1310,1310,11.17695816,6.1681513,16.18576502,745.8277076,15.61462624,9.512664647,21.71658783,476.2202489,2575.92479,1248.199623,159.127236,21,12.57286365,6.786016876,18.35971043,159.1448372,0,15.81687663,9.953611895,21.68014137,33.64779686,6,0,20.10149205,12.59831112,27.60467299,7.722947181,0,17.48577089,12.07150278,22.90003899,251.9706424,20,0,11.88087016,6.726912988,17.03482733,1210.839363,16.03675914,9.676881168,22.39663711,367.7856181,2747.146192,1331.738971,92.72464058,13.8,790.0003381,216.1460345,90.87950071,284.3244679,153.3625646,829.7367008,246.1205097,593.6573403,368.8311235,1190.079586,1248.199623,71,63,49,181,15.79404594,10.3258788,21.26221308,18.86092463,24.40238361,411.1687282,276.6015207,-123.069801113875,45.3706254983447,"3309"
